tweets,date,city,user_location,id,link,texto_limpio,links,hashtags,mentions,emojis
"""Esto se logra con mucho diálogo y transparencia"". El secretario @AlejandroGL2014 se refirió a la entrega del informe del Distrito, sobre violaciones a los derechos humanos durante el paro en Bogotá, a la representante en Colombia de la Alta Comisionada de la ONU para los DD.HH. https://t.co/NQTdLhdTHS",2021-05-26 21:07:07,Bogotá,Bogotá,1397660591758757899,https://twitter.com/i/web/stuatus/1397660591758757899,"""Esto se logra con mucho diálogo y transparencia"". El secretario  se refirió a la entrega del informe del Distrito, sobre violaciones a los derechos humanos durante el paro en Bogotá, a la representante en Colombia de la Alta Comisionada de la ONU para los DD.HH. ",['https://t.co/NQTdLhdTHS'],[],['@AlejandroGL2014'],[]
"@SebastianNohra Y estos artículos son unos pocos de muchos que estoy leyendo sobre problemas de corrupción, manejos, económicos que viene teniendo la empresa desde hace tiempos, es totalmente peligroso que le vengan a echar la culpa de sus problemas únicamente al Paro.
https://t.co/dEQN8fBhiV",2021-05-26 21:05:56,Bogotá,Bogotá,1397660295674286083,https://twitter.com/i/web/stuatus/1397660295674286083," Y estos artículos son unos pocos de muchos que estoy leyendo sobre problemas de corrupción, manejos, económicos que viene teniendo la empresa desde hace tiempos, es totalmente peligroso que le vengan a echar la culpa de sus problemas únicamente al Paro.
",['https://t.co/dEQN8fBhiV'],[],['@SebastianNohra'],[]
"Sindesena Subdirectiva Caquetá, apoyando el PARO NACIONAL @sindesenacol https://t.co/EtR7Tye85P",2021-05-26 21:04:01,Bogotá,Bogotá Colombia,1397659814206001157,https://twitter.com/i/web/stuatus/1397659814206001157,"Sindesena Subdirectiva Caquetá, apoyando el PARO NACIONAL  ",['https://t.co/EtR7Tye85P'],[],['@sindesenacol'],[]
@Alexand94116002 @NoticiasUno Un paro por parte de los domiciliarios no va para ningún lado y más aun cuando ironicamente quieren ir en contra de las empresas que les han dado la mano para tener buenas ganancias. #SiRappiSeVa,2021-05-26 21:03:37,Bogotá,Bogotá,1397659710992625670,https://twitter.com/i/web/stuatus/1397659710992625670,  Un paro por parte de los domiciliarios no va para ningún lado y más aun cuando ironicamente quieren ir en contra de las empresas que les han dado la mano para tener buenas ganancias. ,[],['#SiRappiSeVa'],"['@Alexand94116002', '@NoticiasUno']",[]
"Uds están hablando con el defensor del pueblo que recién comenzó el paro se encontraba en un motel privado en anapoima teniendo encuentros mientras en toda colombia masacraban a los civiles desarmados, han violado todos los tratados internacionales dé DDHH https://t.co/hDNAXSaW9k https://t.co/fGPMavE1Ic",2021-05-26 21:03:09,Bogotá,"Bogotá, Colombia",1397659593543716864,https://twitter.com/i/web/stuatus/1397659593543716864,"Uds están hablando con el defensor del pueblo que recién comenzó el paro se encontraba en un motel privado en anapoima teniendo encuentros mientras en toda colombia masacraban a los civiles desarmados, han violado todos los tratados internacionales dé DDHH  ","['https://t.co/hDNAXSaW9k', 'https://t.co/fGPMavE1Ic']",[],[],[]
"#ColombiaEnParo🇨🇴 | En medio del tercer pico de contagios por covid-19 y el paro nacional, Edilma Suárez, presidenta de la Asociación Nacional de Enfermeras de Colombia (ANEC) cuenta cómo este gremio ha enfrentado este punto de la emergencia sanitaria. ➡ https://t.co/iEjtbnzewS https://t.co/jAw9HnxbX1",2021-05-26 21:02:30,Bogotá,"Chía, Colombia",1397659430804770817,https://twitter.com/i/web/stuatus/1397659430804770817," | En medio del tercer pico de contagios por covid-19 y el paro nacional, Edilma Suárez, presidenta de la Asociación Nacional de Enfermeras de Colombia (ANEC) cuenta cómo este gremio ha enfrentado este punto de la emergencia sanitaria. ➡  ","['https://t.co/iEjtbnzewS', 'https://t.co/jAw9HnxbX1']",['#ColombiaEnParo🇨🇴'],[],['➡']
Integrantes Comite del Paro: APOYO ACCIÓN TUTELA EN CONTRA DE BLOQUEOS A PERSONAL Y VEHÍCULOS DE SALUD Y ALIMENTOS - ¡Firma la petición! https://t.co/5DUGcU8lpU a través de @ChangeorgCO,2021-05-26 21:01:30,Bogotá,Bogotá Colombia,1397659180580978690,https://twitter.com/i/web/stuatus/1397659180580978690,Integrantes Comite del Paro: APOYO ACCIÓN TUTELA EN CONTRA DE BLOQUEOS A PERSONAL Y VEHÍCULOS DE SALUD Y ALIMENTOS - ¡Firma la petición!  a través de ,['https://t.co/5DUGcU8lpU'],[],['@ChangeorgCO'],[]
"@CaracolRadio De estos temas no hablan los que persisten en un paro violento, con bloqueos, pérdidas de empleo y desabastecimiento",2021-05-26 21:00:54,Bogotá,Bogotá,1397659028747128835,https://twitter.com/i/web/stuatus/1397659028747128835," De estos temas no hablan los que persisten en un paro violento, con bloqueos, pérdidas de empleo y desabastecimiento",[],[],['@CaracolRadio'],[]
"""La JEP desempeñó un rol importante cuando en junio de 2020 adoptó el trámite de medidas cautelares para los excombatientes, pero que tienen un impacto más allá del programa especializado de protección para la población en reincorporación"": @KrocInstitute.
https://t.co/ie0glzZXO0 https://t.co/kLoHlZOIXy",2021-05-26 21:00:00,Bogotá,"Bogotá, Colombia",1397658804746027008,https://twitter.com/i/web/stuatus/1397658804746027008,"""La JEP desempeñó un rol importante cuando en junio de 2020 adoptó el trámite de medidas cautelares para los excombatientes, pero que tienen un impacto más allá del programa especializado de protección para la población en reincorporación"": 
 ","['https://t.co/ie0glzZXO0', 'https://t.co/kLoHlZOIXy']",[],['@KrocInstitute.'],[]
"@CIDH @DefensoriaCol Uds están hablando con el defensor del pueblo que recién comenzó el paro se encontraba en un motel privado en anapoima teniendo encuentros mientras en toda colombia masacraban a los civiles desarmados, han violado todos los tratados internacionales de DDHH https://t.co/hDNAXSaW9k",2021-05-26 20:59:16,Bogotá,"Bogotá, Colombia",1397658617961234437,https://twitter.com/i/web/stuatus/1397658617961234437,"  Uds están hablando con el defensor del pueblo que recién comenzó el paro se encontraba en un motel privado en anapoima teniendo encuentros mientras en toda colombia masacraban a los civiles desarmados, han violado todos los tratados internacionales de DDHH ",['https://t.co/hDNAXSaW9k'],[],"['@CIDH', '@DefensoriaCol']",[]
"@SebastianNohra Cerrejón viene con problemas desde hace ya bastante tiempo, es totalmente descarado y peligroso venir a echar ahora toda la culpa al Paro  
https://t.co/IIXv5l088O",2021-05-26 20:58:53,Bogotá,Bogotá,1397658521529880577,https://twitter.com/i/web/stuatus/1397658521529880577," Cerrejón viene con problemas desde hace ya bastante tiempo, es totalmente descarado y peligroso venir a echar ahora toda la culpa al Paro  
",['https://t.co/IIXv5l088O'],[],['@SebastianNohra'],[]
